case_id,query_type,assertion_index,assertion,grounded_1yes_0no,satisfiable_1yes_0no,non_trivial_1yes_0no
case_040,email,0,Returns the email 'email_002',,,
case_040,email,1,Filters results to communications authored by Markus Schmidt,,,
case_040,email,2,Matches keywords 'legal contingency plan' and 'IPO delay',,,
case_050,email,0,Returns the email with subject 'Conflict Identified: Revenue Projections vs. Environmental Fines'.,,,
case_050,email,1,"Filters by keyword: conflict, revenue projections, environmental fines.",,,
case_050,email,2,Identifies Jyoti Mukherjee as the sender.,,,
case_007,email,0,Returns the email authored by Leena Patel on 2026-03-24.,,,
case_007,email,1,"Matches keywords 'financial projection,' 'IPO requirements,' and 'immediate review.'",,,
case_031,email,0,Returns the email with subject 'Next Steps for Reviewing Witness Testimony Discrepancies',,,
case_031,email,1,Matches the date '2026-03-27' and sender 'rgutierrez',,,
case_079,email,0,"Returns the email authored by Markus Schmidt on April 1, 2026.",,,
case_079,email,1,Subject mentions 'Cybersecurity Audit Progress and Phishing Attempt Follow-Up'.,,,
case_160,email,0,Chronicles the flagged outbound email activity and subsequent findings of unauthorized access.,,,
case_160,email,1,Highlights the IT department's initial concerns and the results of the internal email system audit.,,,
case_160,email,2,Explains the steps taken by Bertrand and Co. to mitigate cybersecurity risks.,,,
case_048,email,0,Returns the email with subject 'Follow-Up: Revenue Projections and Fines Analysis'.,,,
case_048,email,1,Filters by keyword: revenue projections and fines.,,,
case_048,email,2,Identifies Rafael Gutierrez as the sender.,,,
case_052,email,0,Returns the email with subject 'Updated Financial Disclosure Based on New Findings',,,
case_052,email,1,Identifies the sender as Leena Patel,,,
case_052,email,2,Filters by keywords 'updated financial disclosure' and 'environmental fines',,,
case_070,email,0,"Returns the email authored by Leena Patel on March 31, 2026.",,,
case_070,email,1,Matches subject and summary related to financial and public perception analysis following the EPO statement.,,,
case_004,email,0,Returns the email with subject 'Drafting Risk Disclosure for Gens Chemistry Ltd.'.,,,
case_004,email,1,Filters by sender as Amina Nasser (anasser).,,,
case_004,email,2,Focuses on IPO-related risk disclosure drafting.,,,
case_032,email,0,Returns the email with subject 'Decision on Media Briefing',,,
case_032,email,1,Identifies the sender as 'mschmidt' and date as '2026-03-27',,,
case_056,email,0,Returns the email with subject 'Conflict Between Revenue Projections and Environmental Fines',,,
case_056,email,1,Matches the author as Yolanda Silva,,,
case_056,email,2,"Filters the date to March 30, 2026",,,
case_053,email,0,Returns the email with subject 'Contingency Plan for IPO Delay',,,
case_053,email,1,Identifies the sender as Wei Huang,,,
case_053,email,2,Filters for keywords 'contingency plan' and 'IPO delay',,,
case_014,email,0,Returns email_006 sent by Markus Schmidt,,,
case_014,email,1,Matches keywords 'IPO delay' and 'public trust issues',,,
case_034,email,0,Returns the email with subject 'Discrepancies in Pollution Timeline - Impact on Risk Disclosure',,,
case_034,email,1,Identifies the sender as 'anasser' and date as '2026-03-28',,,
case_081,email,0,Identifies the internal memo discussing pollution cover-ups by Gens Chemistry Ltd.,,,
case_081,email,1,Links the internal memo to the email about the CEO's request for damage control.,,,
case_035,email,0,Returns the email with subject 'Media Briefing Proposal Follow-Up',,,
case_035,email,1,Matches the sender as 'pr_consultant' and the date as '2026-03-27',,,
case_072,email,0,"Returns the email sent by Amina Nasser on April 1, 2026.",,,
case_072,email,1,Matches the keywords 'fine payment inconsistencies' and 'Gens Chemistry.',,,
case_076,email,0,"Returns the email authored by Leena Patel on April 1, 2026.",,,
case_076,email,1,Subject mentions 'Financial Impact Assessment of Gens Chemistry Ltd.'s Historical Discrepancies'.,,,
case_021,email,0,Returns the email with the subject 'Discussion on Media Briefing Strategy for Gens Chemistry Ltd.',,,
case_021,email,1,"Filters by author Yara Jensen and date March 26, 2026",,,
case_021,email,2,Ensures the email content discusses media briefing strategy and potential risks,,,
case_086,email,0,Identifies the cross-check task assigned to the junior analyst.,,,
case_086,email,1,Connects the results of the cross-check to the insights shared in the email.,,,
case_017,email,0,"Returns the email authored by Takeshi Kimura on March 25, 2026.",,,
case_017,email,1,Includes content discussing the updated legal strategy for IPO filing.,,,
case_058,email,0,Returns the email with subject 'Media Inquiry: Allegations of Pollution Cover-Ups',,,
case_058,email,1,"Matches the date March 30, 2026",,,
case_058,email,2,Filters the sender as Markus Schmidt,,,
case_080,email,0,"Returns the email authored by Yara Jensen on April 1, 2026.",,,
case_080,email,1,Subject mentions 'Crisis Communication Strategy for Gens Chemistry Ltd.'.,,,
case_075,email,0,"Returns the email sent by Markus Schmidt on March 31, 2026.",,,
case_075,email,1,"Matches the keywords 'investor relations strategy,' 'Gens Chemistry,' and 'IPO.'",,,
case_033,email,0,Returns the email with subject 'Recommendations for Addressing Compliance Loophole',,,
case_033,email,1,Matches the sender as 'anasser' and the date '2026-03-27',,,
case_008,email,0,Returns the email authored by Takeshi Kimura on 2026-03-24.,,,
case_008,email,1,"Matches keywords 'legal risks,' 'pollution cover-up,' and 'IPO transparency.'",,,
case_011,email,0,Returns email_004 sent by Yara Jensen,,,
case_011,email,1,Matches keywords 'aligning legal and financial teams' and 'public messaging',,,
case_057,email,0,Returns the email with subject 'Urgent Meeting Request from Gens Chemistry Ltd. CEO',,,
case_057,email,1,Filters for sender Mosi Kabongo,,,
case_054,email,0,Returns the email with subject 'Inconsistencies in Environmental Fine Estimates',,,
case_054,email,1,Identifies the sender as Jyoti Mukherjee,,,
case_054,email,2,"Filters for keywords 'inconsistencies', 'environmental fines', and 'risk assessment'",,,
case_045,email,0,"Returns the email authored by Leena Patel on March 28, 2026.",,,
case_045,email,1,Focuses on financial projections and pollution disclosures.,,,
case_019,email,0,"Returns the email authored by Jyoti Mukherjee on March 26, 2026.",,,
case_019,email,1,Provides details on revenue growth overestimation and underperforming product lines.,,,
case_068,email,0,"Returns the email authored by Yara Jensen on March 31, 2026.",,,
case_068,email,1,Matches subject and summary related to cybersecurity training and phishing prevention.,,,
case_043,email,0,"Returns the email authored by Amina Nasser on March 28, 2026.",,,
case_043,email,1,Focuses on pollution cover-ups and legal strategies.,,,
case_029,email,0,Returns the email with the subject 'Follow-Up on Environmental Compliance Loophole',,,
case_029,email,1,Filters by author 'tkimura' and date '2026-03-27',,,
case_025,email,0,Returns the email with the subject 'Preliminary Recommendation to Delay Gens Chemistry Ltd.'s IPO',,,
case_025,email,1,"Filters by author Markus Schmidt and date March 26, 2026",,,
case_025,email,2,Ensures the email content includes the recommendation to delay the IPO and related disclosure strategy,,,
case_030,email,0,Returns the email with the subject 'Phishing Attempt Targeting Gens Chemistry Communications',,,
case_030,email,1,Filters by author 'itsecurity' and date '2026-03-27',,,
case_022,email,0,Returns the email with the subject 'Revised Financial Analysis and Risk Implications for Gens Chemistry Ltd.',,,
case_022,email,1,"Filters by author Leena Patel and date March 26, 2026",,,
case_022,email,2,Ensures the email summary includes flagged financial inconsistencies,,,
case_046,email,0,Returns the email with subject 'Media Statement Draft: Addressing Pollution Allegations'.,,,
case_046,email,1,Identifies Yara Jensen as the author.,,,
case_046,email,2,"Filters by type: email and date close to March 29, 2026.",,,
case_016,email,0,"Returns the email authored by Leena Patel on March 25, 2026.",,,
